step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
31341,46.0,46,,,,,
31440,99.0,99,,,,,
31740,300.0,300,,,,,
31869,129.0,129,,,,,
32000,131.0,131,,,,,
32115,115.0,115,,,,,
32248,133.0,133,,,,,
32439,191.0,191,,,,,
32588,149.0,149,,,,,
32629,41.0,41,,,,,
32667,38.0,38,,,,,
32768,,,62.43096923828125,-5.219002723693848,0.5859650373458862,0.05442257225513458,0.1796875
32900,233.0,233,,,,,
33113,213.0,213,,,,,
33258,145.0,145,,,,,
33512,254.0,254,,,,,
33570,58.0,58,,,,,
33712,142.0,142,,,,,
33823,111.0,111,,,,,
33976,153.0,153,,,,,
34144,168.0,168,,,,,
34170,26.0,26,,,,,
34321,151.0,151,,,,,
34438,117.0,117,,,,,
34619,181.0,181,,,,,
34734,115.0,115,,,,,
34816,,,34.88467788696289,-6.048152446746826,0.628489077091217,0.01004190556704998,0.07421875
34866,132.0,132,,,,,
34890,24.0,24,,,,,
35046,156.0,156,,,,,
35173,127.0,127,,,,,
35351,178.0,178,,,,,
35514,163.0,163,,,,,
35549,35.0,35,,,,,
35607,58.0,58,,,,,
35679,72.0,72,,,,,
35698,19.0,19,,,,,
35836,138.0,138,,,,,
35949,113.0,113,,,,,
35980,31.0,31,,,,,
36110,130.0,130,,,,,
36130,20.0,20,,,,,
36306,176.0,176,,,,,
36438,132.0,132,,,,,
36464,26.0,26,,,,,
36495,31.0,31,,,,,
36523,28.0,28,,,,,
36569,46.0,46,,,,,
36614,45.0,45,,,,,
36644,30.0,30,,,,,
36705,61.0,61,,,,,
36752,47.0,47,,,,,
36848,96.0,96,,,,,
36863,15.0,15,,,,,
36864,,,104.36381530761719,-1.5507850646972656,0.5298144221305847,0.2188023179769516,0.25390625
37179,316.0,316,,,,,
37442,263.0,263,,,,,
37679,237.0,237,,,,,
37805,126.0,126,,,,,
38002,197.0,197,,,,,
38212,210.0,210,,,,,
38331,119.0,119,,,,,
38560,229.0,229,,,,,
38674,114.0,114,,,,,
38912,,,33.570770263671875,-5.615027904510498,0.6154606342315674,0.012697228230535984,0.1328125
38923,249.0,249,,,,,
39065,142.0,142,,,,,
39130,65.0,65,,,,,
39374,244.0,244,,,,,
39500,126.0,126,,,,,
